LIB,VER,Z,SYM,A,M,MF,MT,LIBORIG,VERORIG
JEFF,3.2,12,Mg,26,g,3,54,JENDL,3.2
JEFF,3.2,11,Na,22,g,4,59,JEFF,3.0
JEFF,3.2,16,S,32,g,14,72,TENDL,2011
JEFF,3.2,12,Mg,26,g,3,55,JENDL,3.2
JEFF,3.2,11,Na,22,g,4,61,JEFF,3.0
JEFF,3.2,12,Mg,24,g,3,56,JENDL,3.3
JEFF,3.2,18,Ar,39,g,6,33,JEFF,3.2
JEFF,3.2,12,Mg,24,g,3,57,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,56,JENDL,3.2
JEFF,3.2,11,Na,22,g,4,91,JEFF,3.0
JEFF,3.2,12,Mg,25,g,3,1,JENDL,3.3
JEFF,3.2,12,Mg,24,g,3,58,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,57,JENDL,3.2
JEFF,3.2,12,Mg,25,g,3,4,JENDL,3.2
JEFF,3.2,12,Mg,24,g,3,59,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,58,JENDL,3.2
JEFF,3.2,12,Mg,25,g,3,16,JENDL,3.2
JEFF,3.2,12,Mg,25,g,3,2,JENDL,3.3
JEFF,3.2,11,Na,22,g,5,16,JEFF,3.0
JEFF,3.2,100,Fm,255,g,1,451,JEFF,3.2
JEFF,3.2,12,Mg,26,g,3,59,JENDL,3.2
JEFF,3.2,12,Mg,24,g,3,61,JENDL,3.3
JEFF,3.2,11,Na,22,g,5,22,ENDFB,7.0
JEFF,3.2,12,Mg,25,g,3,22,JENDL,3.2
JEFF,3.2,12,Mg,26,g,3,61,JENDL,3.2
JEFF,3.2,12,Mg,24,g,3,91,JENDL,3.3
JEFF,3.2,11,Na,22,g,5,28,ENDFB,7.0
JEFF,3.2,11,Na,22,g,5,91,JEFF,3.0
JEFF,3.2,12,Mg,24,g,3,102,JENDL,3.3
JEFF,3.2,12,Mg,26,g,3,62,JENDL,3.2
