Z,A,M,HL,DHL,ELP,DELP,EEM,DEEM,EHP,DEHP
72,159,g,5.2,0.1,1485470.0,0.0,1485470.0,0.0,1828430.0,0.0
72,160,g,13.6,0.2,1434220.0,0.0,1434220.0,0.0,34314.7,0.0
72,161,g,18.2,0.5,2078290.0,0.0,2078290.0,0.0,6107.53,0.0
72,162,g,39.4,0.9,1222240.0,0.0,1222240.0,0.0,353.368,0.0
72,163,g,40.0,0.6,1835000.0,0.0,1835000.0,0.0,4.13209,0.0
72,164,g,111.0,8.0,940000.0,0.0,940000.0,0.0,0.0,0.0
72,165,g,76.0,4.0,1602000.0,0.0,1602000.0,0.0,0.0,0.0
72,166,g,406.2,18.0,708203.0,0.0,708203.0,0.0,0.0,0.0
72,167,g,123.0,3.0,1344000.0,0.0,1344000.0,0.0,0.0,0.0
72,168,g,1557.0,12.0,492999.0,0.0,492999.0,0.0,0.0,0.0
72,169,g,194.4,2.4,1119660.0,0.0,1119660.0,0.0,0.0,0.0
72,170,g,57636.0,468.0,52796.7,0.0,105593.0,0.0,0.0,0.0
72,171,g,43560.0,1440.0,800833.0,0.0,800833.0,0.0,0.0,0.0
72,171,m,29.5,0.9,0.0,0.0,21930.0,0.0,0.0,0.0
72,172,g,59011500.0,946708.0,68654.5,2792.27,109306.0,0.0,0.0,0.0
72,173,g,86040.0,1080.0,52049.8,4127.49,396606.0,0.0,0.0,0.0
72,174,g,6.31152e+22,1.2623e+22,0.0,0.0,0.0,6004.98,2503610.0,6004.98
72,175,g,6048000.0,86400.0,45511.5,3693.78,362987.0,0.0,0.0,0.0
72,176,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,177,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,177,m,1.08,0.06,240715.0,22069.1,1068020.0,0.0,0.0,0.0
72,177,n,3084.0,30.0,251538.0,24324.9,1177270.0,0.0,0.0,0.0
72,178,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,178,m,4.0,0.3,141515.0,13169.6,1005890.0,0.0,0.0,0.0
72,178,n,978286000.0,31557600.0,73619.8,6596.46,1223120.0,0.0,0.0,0.0
72,179,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,179,m,18.67,0.03,134084.0,12658.3,240739.0,0.0,0.0,0.0
72,179,n,2168640.0,17280.0,186344.0,16961.1,919034.0,0.0,0.0,0.0
72,180,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,180,m,19800.0,360.0,148579.0,13902.8,992426.0,0.0,0.0,0.0
72,181,g,3661630.0,5184.0,204387.0,9415.67,530535.0,0.0,0.0,0.0
72,182,g,280857000000000.0,2840120000000.0,64299.9,2479.6,238184.0,0.0,0.0,0.0
72,182,m,3690.0,90.0,198671.0,0.0,691281.0,0.0,0.0,0.0
72,183,g,3841.2,61.2,668701.0,0.0,668701.0,0.0,0.0,0.0
72,184,g,14832.0,180.0,447000.0,0.0,447000.0,0.0,0.0,0.0
72,184,m,48.0,10.0,871133.0,0.0,871133.0,0.0,0.0,0.0
72,185,g,210.0,36.0,1012000.0,0.0,1012000.0,0.0,0.0,0.0
72,186,g,156.0,72.0,726667.0,0.0,726667.0,0.0,0.0,0.0
72,187,g,30.0,0.0,1263330.0,0.0,1263330.0,0.0,0.0,0.0
72,188,g,20.0,0.0,976667.0,0.0,976667.0,0.0,0.0,0.0
73,155,g,1.3e-05,4e-06,0.0,0.0,0.0,0.0,1771000.0,0.0
73,156,g,0.144,0.024,0.0,0.0,0.0,0.0,1011000.0,0.0
73,156,m,0.36,0.04,3879900.0,0.0,3879900.0,0.0,46662.0,0.0
73,157,g,0.0101,0.0004,30400.0,0.0,30400.0,0.0,6107130.0,0.0
73,157,m,0.0043,0.0001,30473.3,0.0,30473.3,0.0,6234130.0,0.0
73,157,n,0.0017,0.0001,0.0,0.0,0.0,0.0,7868100.0,0.0
73,158,g,0.049,0.008,147787.0,0.0,147787.0,0.0,5880100.0,0.0
73,158,m,0.036,0.0008,130947.0,0.0,135847.0,0.0,5772600.0,0.0
73,159,g,1.04,0.09,1849320.0,0.0,1849320.0,0.0,1931570.0,0.0
73,159,m,0.514,0.02,1270500.0,0.0,1270500.0,0.0,3148800.0,0.0
73,160,g,1.7,0.2,1676170.0,0.0,1676170.0,0.0,2722550.0,0.0
73,160,m,1.55,0.04,2280740.0,0.0,2280740.0,0.0,1881940.0,0.0
73,161,g,3.0,0.0,1264830.0,0.0,1264830.0,0.0,2664050.0,0.0
